,idDrink,strDrink,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,all_ingredients,soup
238,17204,Long Island Iced Tea,Ordinary Drink,Contemporary Classics,Alcoholic,Highball glass,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,https://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,"Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel","Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist."
239,12690,Lassi - A South Indian Drink,Other/Unknown,,Non alcoholic,Highball Glass,"Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold.",https://www.thecocktaildb.com/images/media/drink/iq6scx1487603980.jpg,Yoghurt,Water,Cumin seed,Salt,Mint,,,,,,1/2 cup plain ,1 1/4 cup cold ,1/2 tsp ground roasted ,1/4 tsp ,1/4 tsp dried ,,,,,,"Yoghurt,Water,Cumin seed,Salt,Mint","Yoghurt,Water,Cumin seed,Salt,Mint,Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold."
240,12776,Melya,Coffee / Tea,,Non alcoholic,Coffee mug,"Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.",https://www.thecocktaildb.com/images/media/drink/xwtptq1441247579.jpg,Espresso,Honey,Cocoa powder,,,,,,,,,Unsweetened ,,,,,,,,,"Espresso,Honey,Cocoa powder","Espresso,Honey,Cocoa powder,Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream."
241,11000,Mojito,Cocktail,Contemporary Classics,Alcoholic,Highball glass,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/3z6xdi1589574603.jpg,Light rum,Lime,Sugar,Mint,Soda water,,,,,,2-3 oz ,Juice of 1 ,2 tsp ,2-4 ,,,,,,,"Light rum,Lime,Sugar,Mint,Soda water","Light rum,Lime,Sugar,Mint,Soda water,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw."
242,17205,Mimosa,Ordinary Drink,Contemporary Classics,Alcoholic,Champagne flute,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",https://www.thecocktaildb.com/images/media/drink/juhcuu1504370685.jpg,Champagne,Orange juice,,,,,,,,,Chilled ,2 oz ,,,,,,,,,"Champagne,Orange juice","Champagne,Orange juice,Ensure both ingredients are well chilled, then mix into the glass. Serve cold."
243,11690,Mai Tai,Ordinary Drink,Contemporary Classics,Alcoholic,Collins glass,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg,Light rum,Orgeat syrup,Triple sec,Sweet and sour,Cherry,,,,,,1 oz ,1/2 oz ,1/2 oz ,1 1/2 oz ,1 ,,,,,,"Light rum,Orgeat syrup,Triple sec,Sweet and sour,Cherry","Light rum,Orgeat syrup,Triple sec,Sweet and sour,Cherry,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw."
244,11728,Martini,Cocktail,Unforgettables,Alcoholic,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",https://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg,Gin,Dry Vermouth,Olive,,,,,,,,1 2/3 oz ,1/3 oz ,1 ,,,,,,,,"Gin,Dry Vermouth,Olive","Gin,Dry Vermouth,Olive,Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
245,11007,Margarita,Ordinary Drink,Contemporary Classics,Alcoholic,Cocktail glass,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",https://www.thecocktaildb.com/images/media/drink/5noda61589575158.jpg,Tequila,Triple sec,Lime juice,Salt,,,,,,,1 1/2 oz ,1/2 oz ,1 oz ,,,,,,,,"Tequila,Triple sec,Lime juice,Salt","Tequila,Triple sec,Lime juice,Salt,Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
246,11008,Manhattan,Cocktail,Unforgettables,Alcoholic,Cocktail glass,"Stirred over ice, strained into a chilled glass, garnished, and served up.",https://www.thecocktaildb.com/images/media/drink/hz7p4t1589575281.jpg,Sweet Vermouth,Bourbon,Angostura bitters,Ice,Maraschino cherry,Orange peel,,,,,3/4 oz ,2 1/2 oz Blended ,dash ,2 or 3 ,1 ,1 twist of ,,,,,"Sweet Vermouth,Bourbon,Angostura bitters,Ice,Maraschino cherry,Orange peel","Sweet Vermouth,Bourbon,Angostura bitters,Ice,Maraschino cherry,Orange peel,Stirred over ice, strained into a chilled glass, garnished, and served up."
247,15841,Mojito #3,Cocktail,,Alcoholic,Collins glass,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura.",https://www.thecocktaildb.com/images/media/drink/vwxrsw1478251483.jpg,Mint,Lemon juice,Dark rum,Club soda,Angostura bitters,,,,,,1/2 handful ,3 cl ,1/8 L Jamaican ,1/8 L ,8 drops ,,,,,,"Mint,Lemon juice,Dark rum,Club soda,Angostura bitters","Mint,Lemon juice,Dark rum,Club soda,Angostura bitters,Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
248,13936,Miami Vice,Cocktail,,Alcoholic,Cocktail glass,"First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).",https://www.thecocktaildb.com/images/media/drink/qvuyqw1441208955.jpg,151 proof rum,Pina colada mix,Daiquiri mix,,,,,,,,5 oz Bacardi ,frozen ,frozen ,,,,,,,,"151 proof rum,Pina colada mix,Daiquiri mix","151 proof rum,Pina colada mix,Daiquiri mix,First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together)."
249,16041,Mudslinger,Punch / Party Drink,,Alcoholic,Punch bowl,Add all contents to a large jug or punch bowl. Stir well!,https://www.thecocktaildb.com/images/media/drink/hepk6h1504885554.jpg,Southern Comfort,Orange juice,Pepsi Cola,,,,,,,,750 ml ,1 L ,750 ml ,,,,,,,,"Southern Comfort,Orange juice,Pepsi Cola","Southern Comfort,Orange juice,Pepsi Cola,Add all contents to a large jug or punch bowl. Stir well!"
250,16196,Moranguito,Shot,,Alcoholic,Shot glass,"first you put rhe absinthe, then put tequila, then put the Granadine syrup.",https://www.thecocktaildb.com/images/media/drink/urpsyq1475667335.jpg,Absinthe,Tequila,Grenadine,,,,,,,,2/5 ,2/5 ,1/5 ,,,,,,,,"Absinthe,Tequila,Grenadine","Absinthe,Tequila,Grenadine,first you put rhe absinthe, then put tequila, then put the Granadine syrup."
251,17206,Mint Julep,Ordinary Drink,,Alcoholic,Collins glass,"In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.",https://www.thecocktaildb.com/images/media/drink/squyyq1439907312.jpg,Mint,Bourbon,Powdered sugar,Water,,,,,,,4 fresh ,2 1/2 oz ,1 tsp ,2 tsp ,,,,,,,"Mint,Bourbon,Powdered sugar,Water","Mint,Bourbon,Powdered sugar,Water,In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig."
